source,target
5b97f8988ae8150001c7a887,5f1d266c6f7d7f62a219fade
5a198755f2e3460001edc5c9,5b4983840753d30001db8ab3
5e02285cac9e16dcddb845ef,5ec4413c7bd12a11f5d49e04
5c2805401d4eb70001177bfc,5eef7517c8692d20c3279493
5ea0c966166d230d3969ef08,5eed9581cb94ad1c85a27259
5cb62e9293342300017a72a1,5ebaf9c3d131ca09d7a08a47
58ae59babb9e0f0001acb414,5c284e0970d93a0001211e16
5e68083669f4cf0c05439f94,5eccfd5e040498000acbab5c
5d7fd2a5987f70001602d95b,5e9a363724927e0d07782751
5edc3f9696a72790ae256a27,5f17821d53d8590009cfc951
5ebbfc3729e14e0372002deb,5f483a1fc209342e6f419be4
5b97f8988ae8150001c7a887,5f1cc717981bb7584655fe62
58ae59babb9e0f0001acb414,5f0293ca91b83b4294d6685c
5c4af67cdccaa800016b3192,5dcb1db49173807fc66660cb
5ec5b367ec26b761ec0fc87d,5f5eb22e58c9fb7782a6e90c
5ea3ccb9aa7054355ea371b3,5eb1a905bf6e002bd25a5da9
57950da04a84da00014c5dbb,5ca6bbf13b5fcf00100996e9
5f2712b3488e134d570bc387,5f9f1dd3e20fb253392e4bf3
5ca6bbf13b5fcf00100996e9,5f6b9e2aab8b000def48cc53
5aea9a59852ddf0001ced15e,5f1c9c4c1ca48b000961faf4
5a70d87e9cdd180001776440,5dd406d9c23e0d3e6dacc034
5cba3e70f429ff00149dd978,5e68083669f4cf0c05439f94
5f56e1d1b72358165158550d,5f5eb22e58c9fb7782a6e90c
5ed74a20ac241e1c4dfeb045,5f84093b9b3e190008131671
5eeadad1a8405e1bf5c8c7d4,5f1d266c6f7d7f62a219fade
5c270d8f2c45d400014909e8,5f2712b3488e134d570bc387
5be31317d6e8c40001d00d23,5e21cfa097308b4b1dc8f24d
5bc9f8b677740000016a08b5,5f47f0dd26b052111e2d323b
5eb4a3fb75168630c3e6fdb1,5ec18c4c2f44695b38204649
5ab4149e0527ba0001c1656e,5f17821d53d8590009cfc951
55f5946a32af74001017047b,5d7fd2a5987f70001602d95b
5d10d808156091001a74639e,5eee262c7da4d228a43a4027
5db2cfc2aa1295000aa719c1,5e3ac9d20d41ad2da023d9ae
57950da04a84da00014c5dbb,5b4983840753d30001db8ab3
57272517e386b9000e3e2b72,5dce9859c41dc20fc2407bf0
5efbd589ceb6b9190882911d,5f0f62de21b8db102948c958
55f5946a32af74001017047b,5f84093b9b3e190008131671
5c75471e5eb59f000131c7a4,5ef6743fa4d98d36b3d86694
5d5162f1b50a1000169da137,5d54d3560c5b0400174b3c81
5dd8cb39dba6348743ec0915,5e3ac9d20d41ad2da023d9ae
5efd41a487c4ec1945330e9a,5f1d266c6f7d7f62a219fade
5cb62e9293342300017a72a1,5ee4a9a018f5a91af3e985cb
5c4af67cdccaa800016b3192,5f3aead81965e27c4a531d95
